date,home_team,away_team,home_score,away_score,city,country
1872-11-30,Scotland,England,0,0,Glasgow,Scotland
1873-03-08,England,Scotland,4,2,London,England
1874-03-07,Scotland,England,2,1,Glasgow,Scotland
1875-03-06,England,Scotland,2,2,London,England
1876-03-04,Scotland,England,3,0,Glasgow,Scotland
1876-03-25,Scotland,Wales,4,0,Glasgow,Scotland
1877-03-03,England,Scotland,1,3,London,England
1877-03-05,Wales,Scotland,0,2,Wrexham,Wales
1878-03-02,Scotland,England,7,2,Glasgow,Scotland
1878-03-23,Scotland,Wales,9,0,Glasgow,Scotland
1879-01-18,England,Wales,2,1,London,England
1879-04-05,England,Scotland,5,4,London,England
1879-04-07,Wales,Scotland,0,3,Wrexham,Wales
1880-03-13,Scotland,England,5,4,Glasgow,Scotland
1880-03-15,Wales,England,2,3,Wrexham,Wales
1880-03-27,Scotland,Wales,5,1,Glasgow,Scotland
1881-02-26,England,Wales,0,1,Blackburn,England
1881-03-12,England,Scotland,1,6,London,England
1881-03-14,Wales,Scotland,1,5,Wrexham,Wales
1882-02-18,Northern Ireland,England,0,13,Belfast,Ireland
1882-02-25,Wales,Northern Ireland,7,1,Wrexham,Wales
1882-03-11,Scotland,England,5,1,Glasgow,Scotland
1882-03-13,Wales,England,5,3,Wrexham,Wales
1882-03-25,Scotland,Wales,5,0,Glasgow,Scotland
1883-02-03,England,Wales,5,0,London,England
1883-02-24,England,Northern Ireland,7,0,Liverpool,England
1883-03-10,England,Scotland,2,3,Sheffield,England
1883-03-12,Wales,Scotland,0,3,Wrexham,Wales
1883-03-17,Northern Ireland,Wales,1,1,Belfast,Ireland
1884-01-26,Northern Ireland,Scotland,0,5,Belfast,Ireland
1884-02-09,Wales,Northern Ireland,6,0,Wrexham,Wales
1884-02-23,Northern Ireland,England,1,8,Belfast,Ireland
1884-03-15,Scotland,England,1,0,Glasgow,Scotland
1884-03-17,Wales,England,0,4,Wrexham,Wales
1884-03-29,Scotland,Wales,4,1,Glasgow,Scotland
1885-02-28,England,Northern Ireland,4,0,Manchester,England
1885-03-14,England,Wales,1,1,Blackburn,England
1885-03-14,Scotland,Northern Ireland,8,2,Glasgow,Scotland
1885-03-21,England,Scotland,1,1,London,England
1885-03-23,Wales,Scotland,1,8,Wrexham,Wales
1885-04-11,Northern Ireland,Wales,2,8,Belfast,Ireland
1885-11-28,United States,Canada,0,1,Newark,United States
1886-02-27,Wales,Northern Ireland,5,0,Wrexham,Wales
1886-03-13,Northern Ireland,England,1,6,Belfast,Ireland
1886-03-20,Northern Ireland,Scotland,2,7,Belfast,Ireland
1886-03-27,Scotland,England,1,1,Glasgow,Scotland
1886-03-29,Wales,England,1,3,Wrexham,Wales
1886-04-10,Scotland,Wales,4,1,Glasgow,Scotland
1886-11-25,United States,Canada,3,2,Newark,United States
1887-02-05,England,Northern Ireland,7,0,Sheffield,England
1887-02-19,Scotland,Northern Ireland,4,1,Glasgow,Scotland
1887-02-26,England,Wales,4,0,London,England
1887-03-12,Northern Ireland,Wales,4,1,Belfast,Ireland
1887-03-19,England,Scotland,2,3,Blackburn,England
1887-03-21,Wales,Scotland,0,2,Wrexham,Wales
1888-02-04,England,Wales,5,1,Crewe,England
1888-03-03,Wales,Northern Ireland,11,0,Wrexham,Wales
1888-03-10,Scotland,Wales,5,1,Edinburgh,Scotland
1888-03-17,Scotland,England,0,5,Glasgow,Scotland
1888-03-24,Northern Ireland,Scotland,2,10,Belfast,Ireland
1888-04-07,Northern Ireland,England,1,5,Belfast,Ireland
1888-09-19,Scotland,Canada,4,0,Glasgow,Scotland
1889-02-23,England,Wales,4,1,Stoke-on-Trent,England
1889-03-02,England,Northern Ireland,6,1,Liverpool,England
1889-03-09,Scotland,Northern Ireland,7,0,Glasgow,Scotland
1889-04-13,England,Scotland,2,3,London,England
1889-04-15,Wales,Scotland,0,0,Wrexham,Wales
1889-04-27,Northern Ireland,Wales,1,3,Belfast,Ireland
1890-02-08,Wales,Northern Ireland,5,2,Shrewsbury,England
1890-03-15,Northern Ireland,England,1,9,Belfast,Ireland
1890-03-15,Wales,England,1,3,Wrexham,Wales
1890-03-22,Scotland,Wales,5,0,Paisley,Scotland
1890-03-29,Northern Ireland,Scotland,1,4,Belfast,Ireland
1890-04-05,Scotland,England,1,1,Glasgow,Scotland
1891-02-07,Northern Ireland,Wales,7,2,Belfast,Ireland
1891-03-07,England,Wales,4,1,Sunderland,England
1891-03-07,England,Northern Ireland,6,1,Wolverhampton,England
1891-03-21,Wales,Scotland,3,4,Wrexham,Wales
1891-03-28,Scotland,Northern Ireland,2,1,Glasgow,Scotland
1891-04-06,England,Scotland,2,1,Blackburn,England
1892-02-27,Wales,Northern Ireland,1,1,Bangor,Wales
1892-03-05,Northern Ireland,England,0,2,Belfast,Ireland
1892-03-05,Wales,England,0,2,Wrexham,Wales
1892-03-19,Northern Ireland,Scotland,2,3,Belfast,Ireland
1892-03-26,Scotland,Wales,6,1,Edinburgh,Scotland
1892-04-02,Scotland,England,1,4,Glasgow,Scotland
1893-02-25,England,Northern Ireland,6,1,Birmingham,England
1893-03-13,England,Wales,6,0,Stoke-on-Trent,England
1893-03-18,Wales,Scotland,0,8,Wrexham,Wales
1893-03-25,Scotland,Northern Ireland,6,1,Glasgow,Scotland
1893-04-01,England,Scotland,5,2,Richmond,England
1894-02-24,Wales,Northern Ireland,4,1,Swansea,Wales
1894-03-03,Northern Ireland,England,2,2,Belfast,Ireland
1894-03-12,Wales,England,1,5,Wrexham,Wales
1894-03-24,Scotland,Wales,5,2,Kilmarnock,Scotland
1894-03-31,Northern Ireland,Scotland,1,2,Belfast,Ireland
1894-04-07,Scotland,England,2,2,Glasgow,Scotland
1895-03-09,England,Northern Ireland,9,0,Derby,England
